sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 715","Beach Road","715 Beach Road","Browns Bay","Auckland","$1,010,000","$480,000","2000-2009","250","0.0553","$1,180,000","7 Aug 2009"
" 715A","Beach Road","715A Beach Road","Browns Bay","Auckland","$1,050,000","$530,000","2000-2009","250","0.0466","",""
" 1/ 716","Beach Road","1/ 716 Beach Road","Browns Bay","Auckland","$1,080,000","$680,000","Mixed/Remod","145","0","$490,000","28 Aug 2007"
" 2/ 716","Beach Road","2/ 716 Beach Road","Browns Bay","Auckland","$880,000","$620,000","1990-1999","130","0","$505,000","4 Sep 2012"
" 1/ 717","Beach Road","1/ 717 Beach Road","Browns Bay","Auckland","$540,000","$440,000","1920-1929","80","0","$150,000","1 Jan 1900"
" 2/ 717","Beach Road","2/ 717 Beach Road","Browns Bay","Auckland","$750,000","$500,000","1980-1989","130","0","$230,000","1 Jan 1900"
" 1/ 718","Beach Road","1/ 718 Beach Road","Browns Bay","Auckland","$920,000","$680,000","1990-1999","160","0","$210,000","17 Jul 1995"
" 2/ 718","Beach Road","2/ 718 Beach Road","Browns Bay","Auckland","$990,000","$620,000","1990-1999","206","0","$320,000","4 Mar 2003"
" 3/ 718","Beach Road","3/ 718 Beach Road","Browns Bay","Auckland","$810,000","$620,000","1930-1939","60","0","$645,000","17 Sep 2015"
" 4/ 718","Beach Road","4/ 718 Beach Road","Browns Bay","Auckland","$1,120,000","$680,000","1990-1999","170","0","$620,000","22 Jan 2007"
" 719","Beach Road","719 Beach Road","Browns Bay","Auckland","$950,000","$900,000","Mixed/Remod","90","0.1014","$430,000","15 Oct 2010"
" 721","Beach Road","721 Beach Road","Browns Bay","Auckland","$1,070,000","$900,000","1970-1979","220","0.1014","$620,000","1 Sep 2011"
" 1/ 722","Beach Road","1/ 722 Beach Road","Browns Bay","Auckland","$1,010,000","$750,000","1970-1979","160","0","$522,888","8 Apr 2009"
" 2/ 722","Beach Road","2/ 722 Beach Road","Browns Bay","Auckland","$1,160,000","$720,000","1980-1989","250","0","$638,500","27 May 2013"
" 1/ 723","Beach Road","1/ 723 Beach Road","Browns Bay","Auckland","$770,000","$420,000","1970-1979","150","0","$508,500","15 Nov 2012"
" 2/ 723","Beach Road","2/ 723 Beach Road","Browns Bay","Auckland","$800,000","$530,000","1970-1979","130","0","$800,000","11 May 2017"
" 724","Beach Road","724 Beach Road","Browns Bay","Auckland","$850,000","$540,000","1970-1979","160","0.066","$210,000","1 Jan 1900"
" 1/ 725","Beach Road","1/ 725 Beach Road","Browns Bay","Auckland","$660,000","$480,000","1980-1989","70","0","$625,000","10 Oct 2015"
" 2/ 725","Beach Road","2/ 725 Beach Road","Browns Bay","Auckland","$730,000","$440,000","1980-1989","130","0","$240,000","1 Jan 1900"
" 1/ 727","Beach Road","1/ 727 Beach Road","Browns Bay","Auckland","$710,000","$450,000","1970-1979","110","0","$240,000","20 Oct 2003"
" 2/ 727","Beach Road","2/ 727 Beach Road","Browns Bay","Auckland","$730,000","$440,000","1970-1979","110","0","$380,000","8 Apr 2010"
" 1/ 728","Beach Road","1/ 728 Beach Road","Browns Bay","Auckland","$780,000","$500,000","1940-1949","80","0","$180,000","27 Jan 1996"
" 2/ 728","Beach Road","2/ 728 Beach Road","Browns Bay","Auckland","$810,000","$680,000","1990-1999","150","0","$540,000","12 Feb 2013"
" 728A","Beach Road","728A Beach Road","Browns Bay","Auckland","$2,775,000","$1,325,000","1970-1979","1440","0.1882","$1,025,000","1 Jan 1900"
" 1/ 729","Beach Road","1/ 729 Beach Road","Browns Bay","Auckland","$770,000","$480,000","1970-1979","90","0","$715,000","10 Aug 2015"
" 2/ 729","Beach Road","2/ 729 Beach Road","Browns Bay","Auckland","$540,000","$440,000","1950-1959","90","0","$415,000","2 Oct 2012"
" 1/ 730","Beach Road","1/ 730 Beach Road","Browns Bay","Auckland","$780,000","$590,000","1930-1939","82","0","$370,000","19 Jan 2012"
" 2/ 730","Beach Road","2/ 730 Beach Road","Browns Bay","Auckland","$810,000","$590,000","1990-1999","150","0","$640,000","9 Mar 2015"
" 3/ 730","Beach Road","3/ 730 Beach Road","Browns Bay","Auckland","$1,320,000","$680,000","2000-2009","275","0","$460,000","16 Aug 2011"
" 731","Beach Road","731 Beach Road","Browns Bay","Auckland","$4,000,000","$2,375,000","2010-2019","308","0.2336","$3,800,000","11 Dec 2014"
" 731A","Beach Road","731A Beach Road","Browns Bay","Auckland","$1,175,000","$960,000","1970-1979","500","0.107","$440,000","26 Apr 2001"
