sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m²),Land Area (ha),Last Sale Price,Last Sale Date
" 43","Bernard Street","43 Bernard Street","Mount Wellington","Auckland City","$720,000","$540,000","1960-1969","107","0.0809","$155,000","1 Jan 1900"
" 3","Bertrand Road","3 Bertrand Road","Mount Wellington","Auckland City","$950,000","$900,000","1970-1979","97","0.0789","$195,000","1 Jan 1900"
" 5","Bertrand Road","5 Bertrand Road","Mount Wellington","Auckland City","$980,000","$950,000","1970-1979","103","0.0954","$89,000","20 Aug 1987"
" 11","Bertrand Road","11 Bertrand Road","Mount Wellington","Auckland City","$1,180,000","$1,120,000","1970-1979","90","0.0943","$1,210,000","6 Apr 2016"
" 2","Boakes Road","2 Boakes Road","Mount Wellington","Auckland City","$1,230,000","$870,000","1950-1959","249","0.0812","$215,000","1 Jan 1900"
" 5","Boakes Road","5 Boakes Road","Mount Wellington","Auckland City","$1,300,000","$790,000","1960-1969","256","0.0817","$133,000","26 Sep 1991"
" 6","Boakes Road","6 Boakes Road","Mount Wellington","Auckland City","$980,000","$950,000","1950-1959","89","0.0759","$195,000","1 Jan 1900"
" 10","Boakes Road","10 Boakes Road","Mount Wellington","Auckland City","$980,000","$950,000","1950-1959","109","0.0763","$750,000","2 May 2014"
" 16","Boakes Road","16 Boakes Road","Mount Wellington","Auckland City","$950,000","$900,000","1950-1959","92","0.0756","$200,000","1 Jan 1900"
" 18","Boakes Road","18 Boakes Road","Mount Wellington","Auckland City","$950,000","$920,000","1950-1959","87","0.0822","$106,000","17 Aug 1992"
" 20","Boakes Road","20 Boakes Road","Mount Wellington","Auckland City","$1,030,000","$900,000","1950-1959","213","0.0855","$123,000","25 May 1989"
" 24","Boakes Road","24 Boakes Road","Mount Wellington","Auckland City","$960,000","$920,000","1950-1959","125","0.0917","$205,000","1 Jan 1900"
" 27","Boakes Road","27 Boakes Road","Mount Wellington","Auckland City","$975,000","$950,000","1950-1959","88","0.0756","$209,000","10 Nov 1997"
" 29","Boakes Road","29 Boakes Road","Mount Wellington","Auckland City","$980,000","$920,000","1950-1959","129","0.0835","$279,500","12 Jun 2004"
" 39","Boakes Road","39 Boakes Road","Mount Wellington","Auckland City","$930,000","$900,000","1950-1959","87","0.0756","$195,000","1 Jan 1900"
" 41","Boakes Road","41 Boakes Road","Mount Wellington","Auckland City","$930,000","$900,000","1950-1959","91","0.0756","$450,000","21 Sep 2016"
" 43","Boakes Road","43 Boakes Road","Mount Wellington","Auckland City","$930,000","$900,000","1950-1959","87","0.0756","$134,000","18 Feb 1994"
" 45","Boakes Road","45 Boakes Road","Mount Wellington","Auckland City","$930,000","$900,000","1950-1959","103","0.0756","$205,000","1 Jan 1900"
" 49","Boakes Road","49 Boakes Road","Mount Wellington","Auckland City","$960,000","$900,000","1950-1959","111","0.0756","$465,000","21 May 2010"
" 50","Boakes Road","50 Boakes Road","Mount Wellington","Auckland City","$980,000","$900,000","1950-1959","120","0.0756","$100,000","15 Feb 1993"
" 54","Boakes Road","54 Boakes Road","Mount Wellington","Auckland City","$1,200,000","$900,000","1950-1959","126","0.0756","$768,000","16 Sep 2013"
" 55","Boakes Road","55 Boakes Road","Mount Wellington","Auckland City","$1,500,000","$900,000","2000-2009","293","0.0787","$195,000","3 Apr 1998"
" 60","Boakes Road","60 Boakes Road","Mount Wellington","Auckland City","$930,000","$900,000","1950-1959","82","0.0756","$88,000","2 Nov 1998"
" 64","Boakes Road","64 Boakes Road","Mount Wellington","Auckland City","$920,000","$840,000","1950-1959","98","0.0756","$195,000","1 Jan 1900"
" 66","Boakes Road","66 Boakes Road","Mount Wellington","Auckland City","$1,000,000","$840,000","1950-1959","173","0.0782","$675,000","26 Aug 1994"
" 74","Boakes Road","74 Boakes Road","Mount Wellington","Auckland City","$950,000","$840,000","1950-1959","168","0.0756","$265,000","1 Jan 1900"
" 78","Boakes Road","78 Boakes Road","Mount Wellington","Auckland City","$1,230,000","$900,000","1950-1959","229","0.0756","$97,500","5 Jun 1992"
" 4","Camp Road","4 Camp Road","Mount Wellington","Auckland City","$900,000","$660,000","1930-1939","119","0.0809","$960,000","26 Oct 2016"
" 8","Camp Road","8 Camp Road","Mount Wellington","Auckland City","$940,000","$660,000","1940-1949","195","0.0946","$412,000","19 Dec 2007"
" 9","Camp Road","9 Camp Road","Mount Wellington","Auckland City","$930,000","$620,000","1950-1959","143","0.0774","$390,000","11 Jul 2007"
" 10","Camp Road","10 Camp Road","Mount Wellington","Auckland City","$850,000","$660,000","1940-1949","99","0.0809","$175,000","1 Jan 1900"
" 12","Camp Road","12 Camp Road","Mount Wellington","Auckland City","$910,000","$660,000","1920-1929","76","0.0818","$575,000","11 Jun 2013"
" 16","Camp Road","16 Camp Road","Mount Wellington","Auckland City","$940,000","$660,000","1970-1979","165","0.0923","$800,000","28 Feb 2015"
" 18","Camp Road","18 Camp Road","Mount Wellington","Auckland City","$850,000","$660,000","1920-1929","127","0.0836","$110,000","4 Nov 1993"
" 19","Camp Road","19 Camp Road","Mount Wellington","Auckland City","$1,350,000","$590,000","2010-2019","255","0.0756","$1,050,000","21 Oct 2015"
" 20","Camp Road","20 Camp Road","Mount Wellington","Auckland City","$830,000","$620,000","1920-1929","89","0.0779","$150,000","1 Jan 1900"
" 21","Camp Road","21 Camp Road","Mount Wellington","Auckland City","$800,000","$590,000","1950-1959","95","0.0759","$177,000","9 Jan 1997"
" 30","Camp Road","30 Camp Road","Mount Wellington","Auckland City","$900,000","$620,000","1920-1929","148","0.0776","$190,000","1 Jan 1900"
" 6/99","Carbine Road","6/99 Carbine Road","Mount Wellington","Auckland City","$2,025,000","$690,000","1970-1979","897","0.086","$2,100,000","14 Nov 2016"
" 3","Cebalo Place","3 Cebalo Place","Mount Wellington","Auckland City","$900,000","$690,000","1970-1979","99","0.093","$135,000","4 Jul 1990"
" 4","Cebalo Place","4 Cebalo Place","Mount Wellington","Auckland City","$900,000","$690,000","1970-1979","112","0.0845","$920,000","28 Apr 2016"
" 8","Cebalo Place","8 Cebalo Place","Mount Wellington","Auckland City","$950,000","$690,000","1990-1999","154","0.0846","$643,000","27 Sep 2013"
" 9","Cebalo Place","9 Cebalo Place","Mount Wellington","Auckland City","$870,000","$660,000","1990-1999","199","0.098","$560,000","1 Dec 2013"
