sep=,
Street Number,Street Name,Street Address,Suburb,District,Capital Value,Land Value,Building Age,Floor Area (m),Land Area (ha),Last Sale Price,Last Sale Date
"54","Weatherly Road","54 Weatherly Road","Torbay","Auckland","$1,100,000","$660,000","1970-1979","156","0.1098","$225,000","20 Oct 1999"
"55","Weatherly Road","55 Weatherly Road","Torbay","Auckland","$980,000","$570,000","1970-1979","120","0.067","$220,000","1 Jan 1900"
"56","Weatherly Road","56 Weatherly Road","Torbay","Auckland","$1,080,000","$690,000","1970-1979","150","0.0627","$605,000","14 Jun 2012"
"57","Weatherly Road","57 Weatherly Road","Torbay","Auckland","$980,000","$570,000","1970-1979","170","0.062","$885,000","23 Jul 2015"
"58","Weatherly Road","58 Weatherly Road","Torbay","Auckland","$980,000","$690,000","1970-1979","140","0.0658","$240,000","1 Jan 1900"
"59","Weatherly Road","59 Weatherly Road","Torbay","Auckland","$980,000","$690,000","1970-1979","150","0.1619","$415,000","31 May 2009"
"60","Weatherly Road","60 Weatherly Road","Torbay","Auckland","$1,000,000","$740,000","1970-1979","101","0.069","$489,000","7 Oct 2010"
"61","Weatherly Road","61 Weatherly Road","Torbay","Auckland","$1,000,000","$560,000","1970-1979","90","0.0693","$575,000","12 Aug 2012"
"62","Weatherly Road","62 Weatherly Road","Torbay","Auckland","$930,000","$740,000","1970-1979","170","0.0851","$715,000","12 Sep 2013"
"63","Weatherly Road","63 Weatherly Road","Torbay","Auckland","$980,000","$530,000","1970-1979","150","0.064","$211,000","8 Sep 1998"
"64","Weatherly Road","64 Weatherly Road","Torbay","Auckland","$980,000","$760,000","1970-1979","140","0.0776","$225,000","1 Jan 1900"
"65","Weatherly Road","65 Weatherly Road","Torbay","Auckland","$940,000","$570,000","1970-1979","130","0.064","$658,000","21 Aug 2014"
"66","Weatherly Road","66 Weatherly Road","Torbay","Auckland","$1,100,000","$780,000","1970-1979","150","0.0731","$235,000","1 Jan 1900"
"67","Weatherly Road","67 Weatherly Road","Torbay","Auckland","$950,000","$570,000","1970-1979","90","0.0697","$210,000","1 Jan 1900"
"68","Weatherly Road","68 Weatherly Road","Torbay","Auckland","$1,175,000","$780,000","1970-1979","240","0.0668","$520,000","18 Oct 2006"
"69","Weatherly Road","69 Weatherly Road","Torbay","Auckland","$1,050,000","$600,000","1970-1979","100","0.068","$435,000","25 May 2007"
"70","Weatherly Road","70 Weatherly Road","Torbay","Auckland","$990,000","$780,000","1970-1979","220","0.0673","$749,000","20 Jul 2014"
"71","Weatherly Road","71 Weatherly Road","Torbay","Auckland","$950,000","$600,000","1970-1979","150","0.0771","$212,000","15 Jun 2001"
"72","Weatherly Road","72 Weatherly Road","Torbay","Auckland","$1,100,000","$830,000","1970-1979","170","0.0673","$912,000","30 Apr 2015"
"73","Weatherly Road","73 Weatherly Road","Torbay","Auckland","$1,075,000","$740,000","1970-1979","190","0.0726","$520,000","31 Oct 2010"
"74","Weatherly Road","74 Weatherly Road","Torbay","Auckland","$1,250,000","$870,000","1980-1989","290","0.0766","$595,000","13 Feb 2005"
"75","Weatherly Road","75 Weatherly Road","Torbay","Auckland","$980,000","$740,000","1970-1979","150","0.0653","$910,000","30 Nov 2015"
"76","Weatherly Road","76 Weatherly Road","Torbay","Auckland","$1,100,000","$830,000","1970-1979","250","0.0637","$755,000","16 Oct 2013"
"77","Weatherly Road","77 Weatherly Road","Torbay","Auckland","$980,000","$740,000","1970-1979","130","0.067","$230,000","29 Jun 2002"
"78","Weatherly Road","78 Weatherly Road","Torbay","Auckland","$1,280,000","$740,000","1970-1979","180","0.0699","$1,150,000","13 Aug 2015"
"79","Weatherly Road","79 Weatherly Road","Torbay","Auckland","$1,050,000","$760,000","1970-1979","150","0.0726","$935,247","27 Jul 2017"
"80","Weatherly Road","80 Weatherly Road","Torbay","Auckland","$1,175,000","$690,000","1970-1979","214","0.0718","$550,000","24 Jun 2011"
"81","Weatherly Road","81 Weatherly Road","Torbay","Auckland","$1,100,000","$760,000","1970-1979","150","0.0673","$280,000","30 Oct 1996"
"82","Weatherly Road","82 Weatherly Road","Torbay","Auckland","$1,125,000","$660,000","1970-1979","199","0.0668","$399,000","7 Jun 2006"
"83","Weatherly Road","83 Weatherly Road","Torbay","Auckland","$1,075,000","$780,000","1970-1979","170","0.0713","$510,000","17 Aug 2011"
"1/ 84","Weatherly Road","1/ 84 Weatherly Road","Torbay","Auckland","$725,000","$530,000","1970-1979","90","0","$143,000","19 Jun 1994"
"2/ 84","Weatherly Road","2/ 84 Weatherly Road","Torbay","Auckland","$725,000","$530,000","1970-1979","90","0","$330,000","5 Mar 2005"
"85","Weatherly Road","85 Weatherly Road","Torbay","Auckland","$1,125,000","$780,000","1970-1979","170","0.071","$227,500","7 Sep 1995"
"1/ 86","Weatherly Road","1/ 86 Weatherly Road","Torbay","Auckland","$725,000","$530,000","1970-1979","100","0","$335,500","24 Aug 2008"
"2/ 86","Weatherly Road","2/ 86 Weatherly Road","Torbay","Auckland","$705,000","$530,000","1970-1979","100","0","$555,000","24 Dec 2014"
"87","Weatherly Road","87 Weatherly Road","Torbay","Auckland","$1,075,000","$690,000","1970-1979","200","0.0502","$530,000","23 Aug 2009"
"1/ 88","Weatherly Road","1/ 88 Weatherly Road","Torbay","Auckland","$785,000","$530,000","1970-1979","130","0","$385,000","24 Oct 2008"
"2/ 88","Weatherly Road","2/ 88 Weatherly Road","Torbay","Auckland","$785,000","$530,000","1970-1979","130","0","$0","8 Oct 2013"
"89","Weatherly Road","89 Weatherly Road","Torbay","Auckland","$940,000","$640,000","1970-1979","150","0.0469","$782,000","5 Mar 2015"
"90","Weatherly Road","90 Weatherly Road","Torbay","Auckland","$1,050,000","$650,000","1970-1979","140","0.0734","$530,000","18 Nov 2007"
"91","Weatherly Road","91 Weatherly Road","Torbay","Auckland","$1,125,000","$740,000","1970-1979","160","0.0706","$532,000","9 Apr 2010"
