52 Barrack Road Mount Wellington Auckland City,{"x": 19462995.804103434, "y": -4425088.272289385},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
54 Barrack Road Mount Wellington Auckland City,{"x": 19462986.787224684, "y": -4425105.811890547},{"OBJECTID": 212744, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
61 Barrack Road Mount Wellington Auckland City,{"x": 19462932.703714218, "y": -4425198.364288709},{"OBJECTID": 201842, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
67 Barrack Road Mount Wellington Auckland City,{"x": 19462905.034332633, "y": -4425257.247960303},{"OBJECTID": 201842, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
82A Barrack Road Mount Wellington Auckland City,{"x": 19462888.800094556, "y": -4425309.642752204},{"OBJECTID": 201842, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
88 Barrack Road Mount Wellington Auckland City,{"x": 19462865.535798512, "y": -4425358.781488752},{"OBJECTID": 201842, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
89 Barrack Road Mount Wellington Auckland City,{"x": 19462847.094143655, "y": -4425381.843524614},{"OBJECTID": 201842, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
95 Barrack Road Mount Wellington Auckland City,{"x": 19462818.372109048, "y": -4425442.671015857},{"OBJECTID": 201842, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
102 Barrack Road Mount Wellington Auckland City,{"x": 19462834.35954781, "y": -4425424.478638203},{"OBJECTID": 201842, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
103 Barrack Road Mount Wellington Auckland City,{"x": 19462776.052969407, "y": -4425532.067008219},{"OBJECTID": 106869, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
105 Barrack Road Mount Wellington Auckland City,{"x": 19462748.02216083, "y": -4425584.311847954},{"OBJECTID": 56129, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
107 Barrack Road Mount Wellington Auckland City,{"x": 19462740.11563441, "y": -4425599.482147105},{"OBJECTID": 56129, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
109 Barrack Road Mount Wellington Auckland City,{"x": 19462731.59969337, "y": -4425620.781263},{"OBJECTID": 56129, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
111 Barrack Road Mount Wellington Auckland City,{"x": 19462721.47246227, "y": -4425642.080421604},{"OBJECTID": 56129, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
113 Barrack Road Mount Wellington Auckland City,{"x": 19462710.343355764, "y": -4425663.243967085},{"OBJECTID": 56129, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
117 Barrack Road Mount Wellington Auckland City,{"x": 19462692.584251426, "y": -4425696.924872902},{"OBJECTID": 56129, "NAME": null, "ZONE": 27, "VALIDATIONSTATE": 3, "VERSIONSTATUS": 4}
